Test ID,Tier,Surface,Module Area,Role,Preconditions,Steps,Input,Expected Result,Expectation Source,Evidence,Invariant Defended,Risk,Actual Result,Status,Evidence Level,Device/Build,Remarks
T0-01,T0,Admin panel,Activation,Admin (manage),"Two published templates of the same document type, A and B. A is active.",Open template B → Publish → Activate. Then reload the gallery.,—,"Exactly ONE template shows as active for that type, and it is B. A is no longer active. Never two, never zero.",Implementation-derived,Doc_template_service::activate() commits one complete assignment,I1,Two 'official' certificates; a school issues one document believing it issues another,,NOT TESTED,,,
T0-02,T0,Admin panel,Activation,Admin (manage),"Template A active. Two browser windows, both on template B, both published.",Click Activate in BOTH windows as close to simultaneously as you can.,—,"Afterwards exactly one template is active for that type. No state where two are active, and none where zero are.",Implementation-derived,activate() single :commit; atomicity under real contention is UNPROVEN,I1,The failure is silent and legally consequential,,NOT TESTED,,,
T0-03,T0,Admin panel,Publish gate,Admin (manage),A template with a successfully rendered proof.,Move any block by a visible amount. Do NOT re-proof. Click Publish.,—,"Publish is REFUSED, saying the design changed after the proof was rendered.",Implementation-derived,publish() compares proof.contentHash to contentHash(head),I3,A snapshot records a hash no PDF ever produced,,NOT TESTED,,,
T0-04,T0,Admin panel,Publish gate,Admin (manage),"A brand-new template, never proofed.","Attempt to publish, including via the browser console: POST to /doc_templates/publish with only templateId.",templateId only,"Refused by the SERVER, not only by a disabled button. Message names the missing proof.",Implementation-derived,publish() reads lastProof from the head; takes no proof parameter,I3 I4,A forged proof was possible before 2026-09-02,,NOT TESTED,,,
T0-05,T0,Admin panel,Immutability,Admin (manage),A template published at least twice (v1 and v2 exist).,Open version history. Attempt to alter or re-publish v1 by any route the UI offers.,—,"No route exists. v1's content, hash, font manifest and mPDF version are unchanged.",Implementation-derived,publish() refuses an existing version id; no update/delete path on documentTemplateVersions,I2,'Show me the template that produced this certificate' becomes unanswerable,,NOT TESTED,,,
T0-06,T0,Admin panel,Concurrency,Admin (edit) ×2,Two DIFFERENT users open the SAME template.,User A edits and waits for autosave. User B then edits and waits for autosave.,—,User B is told someone else saved it. B's changes are NOT saved and NOT silently merged; A's work is intact.,Implementation-derived,save() lockVersion refusal; client 409 handler keeps the draft dirty,I5,A statutory template containing text neither person approved,,NOT TESTED,,,
T0-07,T0,Admin panel,Fail-closed,Admin (edit),A template open in the designer.,Disconnect the network. Render a proof. Reconnect. Attempt to publish.,—,The proof reports FAILURE. Publish remains blocked. At no point does a failed proof appear to have succeeded.,Implementation-derived,api() throws unless r.ok AND parseable AND status!=='error'; E2E U6,I11,The codebase's standing phantom-success class,,NOT TESTED,,,
T0-08,T0,Admin panel,Tenant isolation,Admin (manage),Two schools exist. You are signed in to school 1. Obtain a template id belonging to school 2.,"From the console, POST that id to /doc_templates/save, /publish, /activate and /archive in turn.",another school's templateId,Every call is refused. School 2's template is unchanged in every respect.,Implementation-derived,Panel uses the Admin SDK and BYPASSES firestore.rules — the check must be in PHP,I8,Cross-tenant write. Automatic P0 per the ecosystem invariants,,NOT TESTED,,,
T0-09,T0,Admin panel,Authorization,Staff with Certificates: view only,An account holding view but not edit or manage.,Open Certificates. Then POST to /doc_templates/activate from the console.,a valid templateId in your own school,"The UI offers no activate control, AND the direct POST is refused by the server with a stated reason.",Implementation-derived,CAPABILITIES map + _remap(); activate requires 'manage',I12,Privilege escalation on the act that decides what a school legally issues,,NOT TESTED,,,
T0-10,T0,Admin panel,Authorization,Staff with NO Certificates permission,An account with no Certificates capability at all.,Navigate directly to /doc_templates and to /doc_templates/design/<any id>.,—,Refused/redirected. No template data is visible in the page source or any network response.,Implementation-derived,require_permission() in the constructor; _remap fail-closed,I12,,,NOT TESTED,,,
T0-11,T0,Admin panel,Data integrity,Admin (manage),A document type whose ONLY template is currently active.,Archive that template. Then look at the document-type card for that type.,—,⚑ CONTESTED. Candidate A: archiving is refused while the template is the only active one. Candidate B: it is allowed but the school is clearly warned that this type can no longer be issued.,Requirement-derived,archive() clears activeVersion with no sibling check and no warning (02-state-machine T1),I17,A school silently loses the ability to issue a statutory document,,NOT TESTED,,,
T0-12,T0,Admin panel,Recoverability,Admin (manage),A template with v4 and v5 published; v5 is active and is wrong.,Attempt to make v4 active again.,—,"⚑ CONTESTED. Candidate A: rollback is possible and v4 becomes active. Candidate B: rollback is impossible by design and the UI says so, so the only path is to publish a corrected v6.",Implementation-derived,"activate() always uses publishedVersion, never a chosen version (02-state-machine T5)",—,A bad publish cannot be undone; the school must republish under pressure,,NOT TESTED,,,
T1-01,T1,Admin panel,Persistence,Admin (edit),Signed in; the console shows NO '[zxdt] no boot payload' warning.,Open a starter. Type into a text field. Wait 3 seconds. Reload the page.,any visible text,The text is still there.,Implementation-derived,markDirty() debounced autosave -> srvSaveDraft() -> POST /doc_templates/save,I5,THE row. Before this build the designer made zero server calls and nothing was ever saved.,,NOT TESTED,,,
T1-02,T1,Admin panel,Offline detection,Admin (edit),The designer open.,Open the browser console and read the first lines logged by the page.,—,"No '[zxdt] no boot payload — running OFFLINE' warning. If it IS present, STOP: nothing is being saved and every row below is void.",Implementation-derived,designer.js BOOT/SRV block,—,A designer that silently stopped saving looks exactly like one that works,,NOT TESTED,,,
T1-03,T1,Admin panel,Library load,Admin (view),A school with at least one real template.,Open Certificates and read the template list.,—,YOUR school's templates are listed. The built-in fixtures 'TC — main letterhead' and 'Bonafide — classic' are NOT shown unless they are genuinely yours.,Implementation-derived,hydrateFromServer() replaces LIB/ACTIVE; empties on failure rather than showing fixtures,I8,"Demo data mistaken for real templates, then activated",,NOT TESTED,,,
T1-04,T1,Admin panel,Create,Admin (edit),—,Open a document type → open a classic starter → note the template id shown.,—,A template is created and its id is a server-minted {schoolId}_TPL#### — not a random 4-digit local placeholder.,Implementation-derived,createOnServer() adopts out.templateId from Doc_template_service::create(),—,A client-chosen id could collide with and overwrite an existing template,,NOT TESTED,,,
T1-05,T1,Admin panel,Proof,Admin (edit),A complete template.,Click Proof PDF and wait for it to finish.,—,"It reports a real page count, an engine version and a content hash. The proof unlocks publish.",Implementation-derived,proof_pdf() renders every declared language at p95 and records the proof,I3,,,NOT TESTED,,,
T1-06,T1,Admin panel,Publish then activate,Admin (manage),A proofed template.,Publish. Read the dialog. Decline activation. Then activate from the gallery.,—,"The dialog makes clear publishing has NOT changed what prints. Declining changes nothing. Activating changes it, in one step.",Implementation-derived,publishOnServer() then offerActivation(); separate capability grade,I1,,,NOT TESTED,,,
T1-07,T1,Admin panel,Version history,Admin (view),A template with at least one published version.,Open version history.,—,"Every published version lists its proof hash, font manifest and mPDF version.",Implementation-derived,publish() snapshot fields,I2,,,NOT TESTED,,,
